,22/tcp-open-cpe:/a:matt_johnston:dropbear_ssh_server:2018.76|cpe:/o:linux:linux_kernel,53/tcp-open-cpe:/a:thekelleys:dnsmasq:2.84rc2,443/tcp-open-,22/tcp-open-cpe:/a:openbsd:openssh:7.9p1|cpe:/o:linux:linux_kernel,53/tcp-open-cpe:/a:thekelleys:dnsmasq:pi-hole-2.82,22/tcp-open-cpe:/a:openbsd:openssh:12.1,111/tcp-open-,443/tcp-open-cpe:/a:igor_sysoev:nginx,445/tcp-open-cpe:/a:samba:samba:4.6.2,22/tcp-open-cpe:/a:openbsd:openssh:8.2p1|cpe:/o:linux:linux_kernel,443/tcp-open-cpe:/a:apache:http_server:2.4.37,443/tcp-open-cpe:/o:vmware:esxi|cpe:/o:vmware:ESXi:6.0.0,22/tcp-open-cpe:/a:openbsd:openssh:7.6p1|cpe:/o:linux:linux_kernel,53/tcp-open-cpe:/a:isc:bind:9.11.3-1ubuntu1.16|cpe:/o:linux:linux_kernel,443/tcp-open-cpe:/o:vmware:vCenter Server:6.7.0
10.10.0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.10.0.10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.10.0.29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.10.0.60,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.10.0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.10.0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10.10.0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.10.0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.10.0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.10.0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.10.0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.10.0.141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
10.10.0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.10.0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.10.0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
